"Name","dataset seed","State","Notes","Tags","Created","Runtime","backend","columns","distributions_args_cob","distributions_args_ig","distributions_args_iob","distributions_for_variates","distributions_kwargs_ig.loc","distributions_kwargs_ig.scale","distributions_kwargs_iob.loc","distributions_kwargs_iob.scale","number_of_segments","number_of_variates","resample_rule","segment_durations_long","segment_durations_short","wandb_project_name","duration in days NC","duration in days NN","duration in days RAW","duration in days RS","end date NC","end date NN","end date RAW","end date RS","frequency NC","frequency NN","frequency RAW","frequency RS","max MAE NC","max MAE NN","max MAE RAW","max MAE RS","max pattern frequency NC","max pattern frequency NN","max pattern frequency RAW","max pattern frequency RS","max segment length NC","max segment length NN","max segment length RAW","max segment length RS","mean MAE NC","mean MAE NN","mean MAE RAW","mean MAE RS","mean pattern frequency NC","mean pattern frequency NN","mean pattern frequency RAW","mean pattern frequency RS","mean segment length NC","mean segment length NN","mean segment length RAW","mean segment length RS","median MAE NC","median MAE NN","median MAE RAW","median MAE RS","median pattern frequency NC","median pattern frequency NN","median pattern frequency RAW","median pattern frequency RS","median segment length NC","median segment length NN","median segment length RAW","median segment length RS","min MAE NC","min MAE NN","min MAE RAW","min MAE RS","min pattern frequency NC","min pattern frequency NN","min pattern frequency RAW","min pattern frequency RS","min segment length NC","min segment length NN","min segment length RAW","min segment length RS","n observations NC","n observations NN","n observations RAW","n observations RS","n patterns NC","n patterns NN","n patterns RAW","n patterns RS","n segments NC","n segments NN","n segments RAW","n segments RS","n segments outside tolerance NC","n segments outside tolerance NN","n segments outside tolerance RAW","n segments outside tolerance RS","n segments within tolerance NC","n segments within tolerance NN","n segments within tolerance RAW","n segments within tolerance RS","start date NC","start date NN","start date RAW","start date RS","std MAE NC","std MAE NN","std MAE RAW","std MAE RS","std pattern frequency NC","std pattern frequency NN","std pattern frequency RAW","std pattern frequency RS","std segment length NC","std segment length NN","std segment length RAW","std segment length RS"
"rose-valley-30","60481","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","30_ds_confirmatory_creation, Synthetic","2025-02-21T15:34:49.000Z","34","agg","[""iob"",""cob"",""ig""]","[1,0.05]","[0.04]","[-0.22]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x14e03ab50>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x1686a15b0>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x14e03a3a0>""]","119.27","39.4","0.5","1.52","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","confirmatory_synthetic-correlated-data-n30","14","14","14","14","2017-07-07T18:44:59+00:00","2017-07-07T18:44:59+00:00","2017-07-07T18:44:59+00:00","2017-07-07T18:44:00+00:00","s","s","s","min","0.219","0.219","1.009","0.591","5","5","5","5","36000","36000","36000","600","0.115","0.115","0.61","0.228","4.348","4.348","4.348","4.348","12771","12771","12771","212.85","0.213","0.213","0.667","0.26","4","4","4","4","10800","10800","10800","180","0","0.001","0.005","0.009","4","4","4","4","900","900","900","15","1277100","1277100","1277100","21285","23","23","23","23","100","100","100","100","2","2","96","72","98","98","4","28","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.105","0.105","0.249","0.116","0.487","0.487","0.487","0.487","11247.323","11247.323","11247.323","187.455"
"decent-firebrand-29","81029","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","30_ds_confirmatory_creation, Synthetic","2025-02-21T15:34:14.000Z","32","agg","[""iob"",""cob"",""ig""]","[1,0.0548]","[0.0396]","[-0.2186]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x14fac1d60>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x14fad0c40>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x14fac1c40>""]","119.2749","39.4013","0.5","1.5185","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","confirmatory_synthetic-correlated-data-n30","14","14","14","14","2017-07-07T15:14:59+00:00","2017-07-07T15:14:59+00:00","2017-07-07T15:14:59+00:00","2017-07-07T15:14:00+00:00","s","s","s","min","0.219","0.219","1.031","0.654","5","5","5","5","36000","36000","36000","600","0.115","0.115","0.617","0.23","4.348","4.348","4.348","4.348","12645","12645","12645","210.75","0.213","0.213","0.669","0.248","4","4","4","4","10800","10800","10800","180","0","0","0.006","0.011","4","4","4","4","900","900","900","15","1264500","1264500","1264500","21075","23","23","23","23","100","100","100","100","1","1","95","70","99","99","5","30","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.105","0.105","0.256","0.121","0.487","0.487","0.487","0.487","11182.891","11182.891","11182.891","186.382"
"visionary-wood-28","828746","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","30_ds_confirmatory_creation, Synthetic","2025-02-21T15:33:37.000Z","35","agg","[""iob"",""cob"",""ig""]","[1,0.2459]","[0.0249]","[-0.0281]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x16c038910>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x168ad4700>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x14eece7f0>""]","123.4226","34.7218","0.3377","0.7223","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","confirmatory_synthetic-correlated-data-n30","14","14","14","14","2017-07-07T17:44:59+00:00","2017-07-07T17:44:59+00:00","2017-07-07T17:44:59+00:00","2017-07-07T17:44:00+00:00","s","s","s","min","0.22","0.23","1.028","0.515","5","5","5","5","36000","36000","36000","600","0.121","0.126","0.614","0.21","4.348","4.348","4.348","4.348","12735","12735","12735","212.25","0.212","0.218","0.669","0.246","4","4","4","4","10800","10800","10800","180","0","0.002","0.006","0.006","4","4","4","4","900","900","900","15","1273500","1273500","1273500","21225","23","23","23","23","100","100","100","100","0","10","96","60","100","90","4","40","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.105","0.105","0.245","0.113","0.487","0.487","0.487","0.487","11130.823","11130.823","11130.823","185.514"
"whole-plasma-27","26681","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","30_ds_confirmatory_creation, Synthetic","2025-02-21T15:33:03.000Z","32","agg","[""iob"",""cob"",""ig""]","[1,0.0509]","[0]","[-0.2817]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x168a75d30>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x168a4bc40>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x15dc921c0>""]","120.2883","31.4553","0.7914","1.038","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","confirmatory_synthetic-correlated-data-n30","14","14","14","14","2017-07-07T14:59:59+00:00","2017-07-07T14:59:59+00:00","2017-07-07T14:59:59+00:00","2017-07-07T14:59:00+00:00","s","s","s","min","0.223","0.223","1.015","0.552","5","5","5","5","36000","36000","36000","600","0.114","0.115","0.611","0.228","4.348","4.348","4.348","4.348","12636","12636","12636","210.6","0.212","0.212","0.669","0.254","4","4","4","4","10800","10800","10800","180","0","0","0.002","0.012","4","4","4","4","900","900","900","15","1263600","1263600","1263600","21060","23","23","23","23","100","100","100","100","3","3","96","73","97","97","4","27","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.105","0.105","0.25","0.12","0.487","0.487","0.487","0.487","11156.92","11156.92","11156.92","185.949"
"soft-donkey-26","710725","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","30_ds_confirmatory_creation, Synthetic","2025-02-21T15:32:28.000Z","32","agg","[""iob"",""cob"",""ig""]","[1,0.0916]","[0]","[-0.1756]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x168c82bb0>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x168cabe80>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x168c82940>""]","120.887","46.862","0.6876","1.6103","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","confirmatory_synthetic-correlated-data-n30","14","14","14","14","2017-07-07T18:44:59+00:00","2017-07-07T18:44:59+00:00","2017-07-07T18:44:59+00:00","2017-07-07T18:44:00+00:00","s","s","s","min","0.221","0.223","1.018","0.664","5","5","5","5","36000","36000","36000","600","0.119","0.12","0.618","0.221","4.348","4.348","4.348","4.348","12771","12771","12771","212.85","0.213","0.214","0.668","0.242","4","4","4","4","10800","10800","10800","180","0","0","0.007","0.01","4","4","4","4","900","900","900","15","1277100","1277100","1277100","21285","23","23","23","23","100","100","100","100","0","0","96","69","100","100","4","31","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.105","0.105","0.247","0.12","0.487","0.487","0.487","0.487","11247.323","11247.323","11247.323","187.455"
"iconic-hill-25","967271","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","30_ds_confirmatory_creation, Synthetic","2025-02-21T15:31:53.000Z","32","agg","[""iob"",""cob"",""ig""]","[1,0.0708]","[0.003]","[-0.3514]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x171419310>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x171436f70>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x1714195b0>""]","113.826","29.7388","0.3469","0.7812","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","confirmatory_synthetic-correlated-data-n30","14","14","14","14","2017-07-07T13:59:59+00:00","2017-07-07T13:59:59+00:00","2017-07-07T13:59:59+00:00","2017-07-07T13:59:00+00:00","s","s","s","min","0.219","0.22","1.016","0.493","5","5","5","5","36000","36000","36000","600","0.113","0.113","0.603","0.248","4.348","4.348","4.348","4.348","12600","12600","12600","210","0.212","0.212","0.668","0.275","4","4","4","4","10800","10800","10800","180","0","0","0.006","0.017","4","4","4","4","900","900","900","15","1260000","1260000","1260000","21000","23","23","23","23","100","100","100","100","2","2","95","75","98","98","5","25","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.105","0.105","0.257","0.118","0.487","0.487","0.487","0.487","11180.421","11180.421","11180.421","186.34"
"zany-night-24","621097","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","30_ds_confirmatory_creation, Synthetic","2025-02-21T15:31:18.000Z","32","agg","[""iob"",""cob"",""ig""]","[1,0.4031]","[0.018]","[0.0379]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x14f7d7130>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x14f74bc70>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x31a5adf70>""]","93.5632","17.8245","0.0955","1.5624","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","confirmatory_synthetic-correlated-data-n30","14","14","14","14","2017-07-07T11:19:59+00:00","2017-07-07T11:19:59+00:00","2017-07-07T11:19:59+00:00","2017-07-07T11:19:00+00:00","s","s","s","min","0.218","0.247","1.006","0.486","5","5","5","5","36000","36000","36000","600","0.116","0.132","0.608","0.216","4.348","4.348","4.348","4.348","12504","12504","12504","208.4","0.212","0.224","0.667","0.254","4","4","4","4","10800","10800","10800","180","0","0.001","0","0.005","4","4","4","4","900","900","900","15","1250400","1250400","1250400","20840","23","23","23","23","100","100","100","100","2","51","96","62","98","49","4","38","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.105","0.105","0.246","0.113","0.487","0.487","0.487","0.487","11119.997","11119.997","11119.997","185.333"
"atomic-bee-23","827707","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","30_ds_confirmatory_creation, Synthetic","2025-02-21T15:30:41.000Z","34","agg","[""iob"",""cob"",""ig""]","[1,0.2241]","[0]","[-0.0037]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x14fab6400>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x14f78deb0>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x14fb66dc0>""]","124.1024","38.6072","0.2814","0.5616","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","confirmatory_synthetic-correlated-data-n30","14","14","14","14","2017-07-07T13:59:59+00:00","2017-07-07T13:59:59+00:00","2017-07-07T13:59:59+00:00","2017-07-07T13:59:00+00:00","s","s","s","min","0.219","0.228","1.017","0.46","5","5","5","5","36000","36000","36000","600","0.116","0.121","0.623","0.203","4.348","4.348","4.348","4.348","12600","12600","12600","210","0.212","0.216","0.67","0.232","4","4","4","4","10800","10800","10800","180","0","0.001","0.002","0.007","4","4","4","4","900","900","900","15","1260000","1260000","1260000","21000","23","23","23","23","100","100","100","100","2","5","96","62","98","95","4","38","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.105","0.106","0.249","0.106","0.487","0.487","0.487","0.487","11180.421","11180.421","11180.421","186.34"
"smooth-energy-22","650720","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","30_ds_confirmatory_creation, Synthetic","2025-02-21T15:30:06.000Z","32","agg","[""iob"",""cob"",""ig""]","[1,0.2087]","[0]","[-0.0171]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x14e0f2370>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x14e0e74c0>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x14e0f28e0>""]","130.4074","53.5276","0.4337","0.9131","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","confirmatory_synthetic-correlated-data-n30","14","14","14","14","2017-07-07T08:19:59+00:00","2017-07-07T08:19:59+00:00","2017-07-07T08:19:59+00:00","2017-07-07T08:19:00+00:00","s","s","s","min","0.22","0.224","1.026","0.38","5","5","5","5","36000","36000","36000","600","0.114","0.118","0.61","0.191","4.348","4.348","4.348","4.348","12396","12396","12396","206.6","0.212","0.216","0.668","0.23","4","4","4","4","10800","10800","10800","180","0","0","0.002","0","4","4","4","4","900","900","900","15","1239600","1239600","1239600","20660","23","23","23","23","100","100","100","100","2","5","95","54","98","95","5","46","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.105","0.106","0.256","0.112","0.487","0.487","0.487","0.487","11153.791","11153.791","11153.791","185.897"
"wandering-sound-21","189800","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","30_ds_confirmatory_creation, Synthetic","2025-02-21T15:29:31.000Z","32","agg","[""iob"",""cob"",""ig""]","[1,0.0729]","[0.0172]","[0.0664]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x15ef14220>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x15cbee670>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x15ef147c0>""]","115.4355","39.6301","1.453","1.5981","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","confirmatory_synthetic-correlated-data-n30","14","14","14","14","2017-07-07T14:04:59+00:00","2017-07-07T14:04:59+00:00","2017-07-07T14:04:59+00:00","2017-07-07T14:04:00+00:00","s","s","s","min","0.218","0.22","1.008","0.5","5","5","5","5","36000","36000","36000","600","0.117","0.117","0.611","0.2","4.348","4.348","4.348","4.348","12603","12603","12603","210.05","0.213","0.213","0.667","0.234","4","4","4","4","10800","10800","10800","180","0","0","0.004","0.013","4","4","4","4","900","900","900","15","1260300","1260300","1260300","21005","23","23","23","23","100","100","100","100","1","1","95","61","99","99","5","39","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.105","0.105","0.253","0.105","0.487","0.487","0.487","0.487","11177.29","11177.29","11177.29","186.288"
