"Name","State","Notes","Created","Runtime","columns","distributions_args_cob","distributions_args_ig","distributions_args_iob","distributions_for_variates","distributions_kwargs_ig.loc","distributions_kwargs_ig.scale","distributions_kwargs_iob.loc","distributions_kwargs_iob.scale","number_of_segments","number_of_variates","resample_rule","segment_durations_long","segment_durations_short","wandb_entity","wandb_mode","wandb_project_name","dataset seed","duration in days NC","duration in days NN","duration in days RAW","duration in days RS","end date NC","end date NN","end date RAW","end date RS","frequency NC","frequency NN","frequency RAW","frequency RS","max MAE NC","max MAE NN","max MAE RAW","max MAE RS","max pattern frequency NC","max pattern frequency NN","max pattern frequency RAW","max pattern frequency RS","max segment length NC","max segment length NN","max segment length RAW","max segment length RS","mean MAE NC","mean MAE NN","mean MAE RAW","mean MAE RS","mean pattern frequency NC","mean pattern frequency NN","mean pattern frequency RAW","mean pattern frequency RS","mean segment length NC","mean segment length NN","mean segment length RAW","mean segment length RS","median MAE NC","median MAE NN","median MAE RAW","median MAE RS","median pattern frequency NC","median pattern frequency NN","median pattern frequency RAW","median pattern frequency RS","median segment length NC","median segment length NN","median segment length RAW","median segment length RS","min MAE NC","min MAE NN","min MAE RAW","min MAE RS","min pattern frequency NC","min pattern frequency NN","min pattern frequency RAW","min pattern frequency RS","min segment length NC","min segment length NN","min segment length RAW","min segment length RS","n observations NC","n observations NN","n observations RAW","n observations RS","n patterns NC","n patterns NN","n patterns RAW","n patterns RS","n segments NC","n segments NN","n segments RAW","n segments RS","n segments outside tolerance NC","n segments outside tolerance NN","n segments outside tolerance RAW","n segments outside tolerance RS","n segments within tolerance NC","n segments within tolerance NN","n segments within tolerance RAW","n segments within tolerance RS","start date NC","start date NN","start date RAW","start date RS","std MAE NC","std MAE NN","std MAE RAW","std MAE RS","std pattern frequency NC","std pattern frequency NN","std pattern frequency RAW","std pattern frequency RS","std segment length NC","std segment length NN","std segment length RAW","std segment length RS"
"breezy-leaf-30","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","2025-01-01T19:15:07.000Z","32","[""iob"",""cob"",""ig""]","[1,0.05]","[0.04]","[-0.22]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x17fa79310>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x30a90b160>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x17e7f47f0>""]","119.27","39.4","0.5","1.52","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","idegen","online","synthetic-correlated-data-n30","485622","14","14","14","14","2017-07-07T11:34:59+00:00","2017-07-07T11:34:59+00:00","2017-07-07T11:34:59+00:00","2017-07-07T11:34:00+00:00","s","s","s","min","0.22","0.22","1.027","0.667","5","5","5","5","36000","36000","36000","600","0.112","0.112","0.62","0.221","4.348","4.348","4.348","4.348","12513","12513","12513","208.55","0.212","0.212","0.67","0.25","4","4","4","4","10800","10800","10800","180","0","0","0","0.007","4","4","4","4","900","900","900","15","1251300","1251300","1251300","20855","23","23","23","23","100","100","100","100","1","1","96","68","99","99","4","32","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.106","0.106","0.253","0.123","0.487","0.487","0.487","0.487","11110.871","11110.871","11110.871","185.181"
"solar-meadow-29","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","2025-01-01T19:14:32.000Z","32","[""iob"",""cob"",""ig""]","[1,0.0548]","[0.0396]","[-0.2186]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x3087b8610>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x3095a3550>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x302395490>""]","119.2749","39.4013","0.5","1.5185","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","idegen","online","synthetic-correlated-data-n30","680913","14","14","14","14","2017-07-07T16:14:59+00:00","2017-07-07T16:14:59+00:00","2017-07-07T16:14:59+00:00","2017-07-07T16:14:00+00:00","s","s","s","min","0.223","0.223","1.02","0.587","5","5","5","5","36000","36000","36000","600","0.113","0.113","0.614","0.226","4.348","4.348","4.348","4.348","12681","12681","12681","211.35","0.208","0.208","0.667","0.243","4","4","4","4","10800","10800","10800","180","0","0","0.003","0.023","4","4","4","4","900","900","900","15","1268100","1268100","1268100","21135","23","23","23","23","100","100","100","100","1","1","96","66","99","99","4","34","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.105","0.105","0.252","0.124","0.487","0.487","0.487","0.487","11135.762","11135.762","11135.762","185.596"
"soft-music-28","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","2025-01-01T19:13:58.000Z","31","[""iob"",""cob"",""ig""]","[1,0.2459]","[0.0249]","[-0.0281]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x3152bc670>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x31fc3bb80>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x3152bc040>""]","123.4226","34.7218","0.3377","0.7223","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","idegen","online","synthetic-correlated-data-n30","161110","14","14","14","14","2017-07-07T13:59:59+00:00","2017-07-07T13:59:59+00:00","2017-07-07T13:59:59+00:00","2017-07-07T13:59:00+00:00","s","s","s","min","0.22","0.23","1.017","0.427","5","5","5","5","36000","36000","36000","600","0.116","0.121","0.614","0.201","4.348","4.348","4.348","4.348","12600","12600","12600","210","0.21","0.217","0.667","0.237","4","4","4","4","10800","10800","10800","180","0","0","0.003","0.007","4","4","4","4","900","900","900","15","1260000","1260000","1260000","21000","23","23","23","23","100","100","100","100","1","5","96","57","99","95","4","43","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.105","0.106","0.249","0.105","0.487","0.487","0.487","0.487","11086.355","11086.355","11086.355","184.773"
"soft-totem-27","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","2025-01-01T19:13:24.000Z","32","[""iob"",""cob"",""ig""]","[1,0.0509]","[0]","[-0.2817]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x30a8d58b0>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x3150c2520>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x30a8d55e0>""]","120.2883","31.4553","0.7914","1.038","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","idegen","online","synthetic-correlated-data-n30","303236","14","14","14","14","2017-07-07T10:29:59+00:00","2017-07-07T10:29:59+00:00","2017-07-07T10:29:59+00:00","2017-07-07T10:29:00+00:00","s","s","s","min","0.22","0.22","1.017","0.567","5","5","5","5","36000","36000","36000","600","0.112","0.112","0.614","0.243","4.348","4.348","4.348","4.348","12474","12474","12474","207.9","0.21","0.21","0.67","0.272","4","4","4","4","10800","10800","10800","180","0","0","0.003","0.003","4","4","4","4","900","900","900","15","1247400","1247400","1247400","20790","23","23","23","23","100","100","100","100","1","1","96","70","99","99","4","30","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.105","0.105","0.253","0.127","0.487","0.487","0.487","0.487","11230.816","11230.816","11230.816","187.18"
"unique-puddle-26","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","2025-01-01T19:12:49.000Z","32","[""iob"",""cob"",""ig""]","[1,0.0916]","[0]","[-0.1756]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x3094aa8e0>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x309487190>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x3094aa400>""]","120.887","46.862","0.6876","1.6103","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","idegen","online","synthetic-correlated-data-n30","798156","14","14","14","14","2017-07-07T16:04:59+00:00","2017-07-07T16:04:59+00:00","2017-07-07T16:04:59+00:00","2017-07-07T16:04:00+00:00","s","s","s","min","0.22","0.22","1.023","0.59","5","5","5","5","36000","36000","36000","600","0.109","0.11","0.611","0.211","4.348","4.348","4.348","4.348","12675","12675","12675","211.25","0.122","0.122","0.669","0.242","4","4","4","4","10800","10800","10800","180","0","0","0.003","0.013","4","4","4","4","900","900","900","15","1267500","1267500","1267500","21125","23","23","23","23","100","100","100","100","2","2","96","66","98","98","4","34","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.106","0.106","0.254","0.116","0.487","0.487","0.487","0.487","11305.138","11305.138","11305.138","188.419"
"blooming-glade-25","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","2025-01-01T19:12:14.000Z","32","[""iob"",""cob"",""ig""]","[1,0.0708]","[0.003]","[-0.3514]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x3025c2940>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x3025cffa0>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x3152b3850>""]","113.826","29.7388","0.3469","0.7812","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","idegen","online","synthetic-correlated-data-n30","85039","14","14","14","14","2017-07-07T10:14:59+00:00","2017-07-07T10:14:59+00:00","2017-07-07T10:14:59+00:00","2017-07-07T10:14:00+00:00","s","s","s","min","0.22","0.22","1.04","0.497","5","5","5","5","36000","36000","36000","600","0.111","0.111","0.614","0.244","4.348","4.348","4.348","4.348","12465","12465","12465","207.75","0.21","0.21","0.667","0.28","4","4","4","4","10800","10800","10800","180","0","0","0.003","0.013","4","4","4","4","900","900","900","15","1246500","1246500","1246500","20775","23","23","23","23","100","100","100","100","0","0","96","71","100","100","4","29","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.106","0.106","0.253","0.126","0.487","0.487","0.487","0.487","11099.908","11099.908","11099.908","184.998"
"trim-fire-24","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","2025-01-01T19:11:41.000Z","30","[""iob"",""cob"",""ig""]","[1,0.4031]","[0.018]","[0.0379]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x302a03940>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x17ff6ab20>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x3020b9f40>""]","93.5632","17.8245","0.0955","1.5624","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","idegen","online","synthetic-correlated-data-n30","464476","14","14","14","14","2017-07-07T09:29:59+00:00","2017-07-07T09:29:59+00:00","2017-07-07T09:29:59+00:00","2017-07-07T09:29:00+00:00","s","s","s","min","0.22","0.243","1.023","0.47","5","5","5","5","36000","36000","36000","600","0.115","0.13","0.613","0.214","4.348","4.348","4.348","4.348","12438","12438","12438","207.3","0.21","0.223","0.665","0.248","4","4","4","4","10800","10800","10800","180","0","0","0","0.007","4","4","4","4","900","900","900","15","1243800","1243800","1243800","20730","23","23","23","23","100","100","100","100","0","46","95","65","100","54","5","35","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.104","0.105","0.257","0.103","0.487","0.487","0.487","0.487","11124.945","11124.945","11124.945","185.416"
"young-glitter-23","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","2025-01-01T19:11:06.000Z","32","[""iob"",""cob"",""ig""]","[1,0.2241]","[0]","[-0.0037]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x306a9a1f0>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x305525a60>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x306a9aa00>""]","124.1024","38.6072","0.2814","0.5616","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","idegen","online","synthetic-correlated-data-n30","312853","14","14","14","14","2017-07-07T17:44:59+00:00","2017-07-07T17:44:59+00:00","2017-07-07T17:44:59+00:00","2017-07-07T17:44:00+00:00","s","s","s","min","0.223","0.227","1.013","0.423","5","5","5","5","36000","36000","36000","600","0.116","0.121","0.606","0.196","4.348","4.348","4.348","4.348","12735","12735","12735","212.25","0.21","0.217","0.667","0.233","4","4","4","4","10800","10800","10800","180","0","0","0.003","0.007","4","4","4","4","900","900","900","15","1273500","1273500","1273500","21225","23","23","23","23","100","100","100","100","2","5","95","55","98","95","5","45","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.105","0.106","0.252","0.113","0.487","0.487","0.487","0.487","11130.823","11130.823","11130.823","185.514"
"scarlet-cherry-22","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","2025-01-01T19:10:31.000Z","33","[""iob"",""cob"",""ig""]","[1,0.2087]","[0]","[-0.0171]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x3025aa910>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x3090ea820>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x3025aa2e0>""]","130.4074","53.5276","0.4337","0.9131","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","idegen","online","synthetic-correlated-data-n30","547384","14","14","14","14","2017-07-07T18:04:59+00:00","2017-07-07T18:04:59+00:00","2017-07-07T18:04:59+00:00","2017-07-07T18:04:00+00:00","s","s","s","min","0.217","0.223","1.023","0.38","5","5","5","5","36000","36000","36000","600","0.113","0.118","0.608","0.193","4.348","4.348","4.348","4.348","12747","12747","12747","212.45","0.21","0.213","0.67","0.228","4","4","4","4","10800","10800","10800","180","0","0","0.003","0.007","4","4","4","4","900","900","900","15","1274700","1274700","1274700","21245","23","23","23","23","100","100","100","100","3","3","95","57","97","97","5","43","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.106","0.106","0.255","0.11","0.487","0.487","0.487","0.487","11292.837","11292.837","11292.837","188.214"
"distinctive-breeze-21","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","2025-01-01T19:09:57.000Z","32","[""iob"",""cob"",""ig""]","[1,0.0729]","[0.0172]","[0.0664]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x3024eea30>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x3024ceca0>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x3024eefa0>""]","115.4355","39.6301","1.453","1.5981","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","idegen","online","synthetic-correlated-data-n30","825826","14","14","14","14","2017-07-07T14:29:59+00:00","2017-07-07T14:29:59+00:00","2017-07-07T14:29:59+00:00","2017-07-07T14:29:00+00:00","s","s","s","min","0.22","0.22","1.007","0.41","5","5","5","5","36000","36000","36000","600","0.116","0.117","0.607","0.194","4.348","4.348","4.348","4.348","12618","12618","12618","210.3","0.213","0.213","0.667","0.235","4","4","4","4","10800","10800","10800","180","0","0","0","0.013","4","4","4","4","900","900","900","15","1261800","1261800","1261800","21030","23","23","23","23","100","100","100","100","0","0","96","55","100","100","4","45","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.105","0.105","0.246","0.106","0.487","0.487","0.487","0.487","11208.18","11208.18","11208.18","186.803"
