,c_iob,loc_iob,scale_iob,n_cob,p_cob,c_ig,loc_ig,scale_ig
0,-0.2479,0.6349,1.4840,1.0000,0.0966,0.0000,102.1357,26.0446
1,-0.2356,0.4468,1.2468,1.0000,0.1090,0.0007,106.1820,28.2259
2,-0.3198,0.5093,0.7066,1.0000,0.0794,0.0067,121.2553,32.4773
3,-0.4394,0.2859,0.5602,1.0000,0.1107,0.0000,113.3452,35.5533
4,-0.3509,0.5652,0.9301,1.0000,0.0786,0.0000,111.8077,30.1421
5,-0.0936,0.6418,1.6414,1.0000,0.1433,0.0000,95.7793,26.6887
6,-0.2274,0.4805,0.8212,1.0000,0.0641,0.0000,120.3555,38.8793
7,-0.2599,0.1165,0.7685,1.0000,0.1535,0.0000,105.2632,29.8555
8,-0.0425,0.1354,0.3602,1.0000,0.2202,0.0000,117.1735,43.3512
9,-0.2362,1.1480,2.0335,1.0000,0.0615,0.0782,109.5085,27.2984
10,0.0410,0.4335,1.1122,1.0000,0.1074,0.0030,115.8130,40.7024
11,-0.3543,0.2439,0.8729,1.0000,0.0979,0.0165,88.7941,22.0546
12,-0.5206,0.7909,1.3817,1.0000,0.0464,0.0000,113.1839,31.3848
13,-0.3934,1.1972,1.9167,1.0000,0.0881,0.0000,129.2143,46.3366
14,-0.3043,0.3637,0.7208,1.0000,0.1293,0.0104,131.2902,45.9503
15,-0.1154,1.4890,2.1407,1.0000,0.1250,0.0000,112.6133,30.9116
16,-0.3154,0.1375,0.5302,1.0000,0.1215,0.0138,117.5193,27.8409
17,-0.2182,0.4807,0.7327,1.0000,0.0869,0.0000,123.6130,37.0815
18,-0.0011,0.9971,2.5405,1.0000,0.1907,0.0000,131.9869,48.8511
19,-0.1005,1.2901,3.2190,1.0000,0.1268,0.0000,116.1080,27.9610
20,0.0664,1.4530,1.5981,1.0000,0.0729,0.0172,115.4355,39.6301
21,-0.0171,0.4337,0.9131,1.0000,0.2087,0.0000,130.4074,53.5276
22,-0.0037,0.2814,0.5616,1.0000,0.2241,0.0000,124.1024,38.6072
23,0.0379,0.0955,1.5624,1.0000,0.4031,0.0180,93.5632,17.8245
24,-0.3514,0.3469,0.7812,1.0000,0.0708,0.0030,113.8260,29.7388
25,-0.1756,0.6876,1.6103,1.0000,0.0916,0.0000,120.8870,46.8620
26,-0.2817,0.7914,1.0380,1.0000,0.0509,0.0000,120.2883,31.4553
27,-0.0281,0.3377,0.7223,1.0000,0.2459,0.0249,123.4226,34.7218
28,-0.2186,0.5000,1.5185,1.0000,0.0548,0.0396,119.2749,39.4013
29,-0.2200,0.5000,1.5200,1.0000,0.0500,0.0400,119.2700,39.4000
