Id,Relaxed Pattern,Modified Pattern,MAE
0,"[0, 0, 0]","[0.1, 0.1, 0.1]",0.1
1,"[0, 0, 1]","[-0.1, -0.1, 0.9]",0.1
2,"[0, 0, -1]","[0.1, 0.1, -0.9]",0.1
3,"[0, 1, 0]","[-0.1, 0.9, -0.1]",0.1
4,"[0.0, 0.71, 0.7]","[-0.1, 0.61, 0.6]",0.1
5,"[0, 0.71, -0.7]","[-0.1, 0.61, -0.6]",0.1
6,"[0, -1, 0]","[0.1, -0.9, 0.1]",0.1
7,"[0, -0.71, 0.7]","[0.1, -0.61, 0.6]",0.1
8,"[0, -0.71, -0.7]","[0.1, -0.61, -0.6]",0.1
9,"[1, 0, 0]","[0.9, -0.1, -0.1]",0.1
10,"[0.71, 0, 0.7]","[0.61, -0.1, 0.6]",0.1
11,"[0.71, 0, -0.7]","[0.61, -0.1, -0.6]",0.1
12,"[0.71, 0.7, 0]","[0.61, 0.6, -0.1]",0.1
13,"[1, 1, 1]","[0.9, 0.9, 0.9]",0.1
15,"[0.71, -0.7, 0]","[0.61, -0.6, -0.1]",0.1
17,"[1, -1, -1]","[0.9, -0.9, -0.9]",0.1
18,"[-1, 0, 0]","[-0.9, 0.1, 0.1]",0.1
19,"[-0.71, 0, 0.7]","[-0.61, 0.1, 0.6]",0.1
20,"[-0.71, 0, -0.7]","[-0.61, 0.1, -0.6]",0.1
21,"[-0.71, 0.7, 0]","[-0.61, 0.6, 0.1]",0.1
23,"[-1, 1, -1]","[-0.9, 0.9, -0.9]",0.1
24,"[-0.71, -0.7, 0]","[-0.61, -0.6, 0.1]",0.1
25,"[-1, -1, 1]","[-0.9, -0.9, 0.9]",0.1
